mark,1
per,1
my,1
voice,1
mail,1
jeff,1
forwarded,1
by,1
jeffrey,2
t,2
hodge,2
hou,2
ect,3
on,2
pm,2
eric,3
boyt,1
enron,3
enronxgate,3
to,3
neal,1
gerstandt,1
cc,1
moon,1
subject,1
confidential,1
proprietaty,1
udated,1
pannat,1
value,2
as,1
requested,1
of,2
deal,1
based,1
curves,1
july,1
out,1
estimated,1
unwind,1
costs,1
total,1
est,1
exposure,2
duke,2
s,2
position,2
no,1
transport,1
let,1
either,1
us,1
know,1
if,1
you,1
have,1
any,1
additional,1
questions,1
regards,1
to,9
kaminski,1
wincenty,1
email,1
vkamins,1
enron,5
com,2
wholesale,3
services,3
office,1
of,4
the,10
chairman,2
from,2
mark,3
frevert,1
ceo,1
greg,1
whalley,1
president,1
coo,1
haedicke,2
managing,1
director,1
general,1
counsel,1
subject,1
confidential,3
information,3
and,13
securities,2
trading,2
ews,3
maintains,1
official,1
policies,7
procedures,7
regarding,1
which,1
have,2
been,1
revised,2
as,1
november,1
reflect,1
new,2
structure,1
these,1
are,3
intended,1
allow,2
us,1
simultaneously,1
pursue,1
our,2
diverse,1
businesses,1
protect,1
reputation,1
for,2
integrity,1
its,1
employees,1
legal,2
liability,1
you,4
required,1
become,1
familiar,1
with,4
comply,1
newly,1
available,1
your,5
review,1
on,3
legalonline,4
intranet,1
website,1
maintained,1
by,1
department,1
please,2
click,1
attached,1
link,1
access,1
http,1
corp,1
chinesewall,1
asp,1
must,1
certify,2
compliance,2
within,1
two,1
weeks,1
receipt,1
this,1
message,1
site,1
will,1
quickly,1
conveniently,1
line,1
sap,1
personal,1
id,1
number,1
if,1
any,1
questions,1
concerning,1
or,2
call,1
lance,1
schuler,1
at,5
extension,5
alan,1
aronowitz,1
bob,1
bruce,1
donna,1
lowry,1
please,2
respond,1
to,27
vkaminskithis,1
article,1
from,8
nytimes,9
com,11
has,10
been,2
sent,1
you,4
by,7
vkaminski,1
aol,1
advertisement,1
looking,1
for,15
better,1
it,15
solutions,1
toshiba,3
is,14
uniting,1
digital,2
mobile,1
and,12
network,1
innovations,1
in,13
a,19
bold,1
new,5
vision,1
of,21
information,3
technology,1
today,2
tomorrow,1
take,2
closer,1
look,3
at,8
life,1
the,57
age,1
imagine,1
how,2
good,1
can,4
be,9
visit,3
more,3
details,1
http,4
www,4
ads,1
index,1
html,2
real,2
wolf,4
reckonings,1
paul,1
krugman,1
ecently,1
i,4
received,2
letter,1
an,5
economist,2
respect,1
chiding,1
me,1
my,1
naderite,1
columns,1
on,9
california,9
energy,3
crisis,3
he,2
just,2
didn,1
t,5
believe,3
that,20
market,9
manipulation,1
power,7
companies,2
could,1
possibly,1
important,1
issue,1
sounded,1
too,1
much,1
him,1
like,2
sort,1
thing,1
one,3
hears,1
knee,1
jerk,1
leftists,1
who,3
blame,1
greedy,1
capitalists,1
every,1
problem,1
third,1
world,1
poverty,1
or,7
high,2
apartment,1
rents,1
left,1
cried,1
so,1
many,1
times,3
sensible,1
people,1
have,5
learned,1
discount,1
such,2
claims,1
but,4
now,2
bona,1
fide,1
arrived,1
whose,1
predatory,1
behavior,1
doing,1
terrible,1
damage,1
our,2
most,2
populous,1
state,3
nobody,1
will,4
true,1
would,3
heading,1
summer,1
shortages,1
even,5
if,3
had,1
never,2
deregulated,1
there,6
was,4
workable,2
competition,2
wholesale,2
electricity,5
prices,4
spike,1
during,2
periods,2
peak,1
demand,3
transferring,1
billions,1
dollars,1
either,1
taxpayers,1
consumers,1
generators,4
evidence,4
overwhelming,1
isn,1
s,6
actions,1
gaming,1
system,1
greatly,1
magnified,1
key,1
fact,3
somehow,1
remained,1
less,2
continuous,1
shortage,1
very,3
regardless,1
level,1
rash,1
outages,2
kept,1
conveniently,1
profitably,1
short,1
supply,1
low,1
when,2
ought,1
lots,1
excess,1
capacity,2
as,2
frank,1
wolak,4
stanford,1
also,1
advises,1
grid,1
pointed,1
out,3
outage,1
plant,2
lot,1
employee,1
calling,1
sick,2
tell,1
directly,1
whether,1
really,2
chosen,1
day,2
off,1
other,4
reasons,1
circumstantial,1
convinced,1
mr,3
use,1
forced,1
strategically,1
withhold,1
view,1
shared,1
growing,1
number,1
researchers,1
which,1
brings,1
us,1
latest,1
move,2
federal,1
regulatory,1
commission,2
wednesday,1
apparently,2
decided,1
offer,2
some,2
relief,2
put,1
price,5
caps,3
place,1
say,1
because,2
plan,5
likely,1
seems,2
any,3
help,2
all,3
indeed,2
measure,1
passed,1
vote,1
with,3
william,1
massey,1
commissioner,1
sympathetic,1
calls,3
controls,3
voting,1
against,1
grounds,1
ineffectual,1
what,2
wrong,1
ferc,5
first,1
only,1
emergency,3
conditions,1
ignoring,1
stayed,1
hard,1
explain,1
levels,1
no,1
effect,1
laid,1
were,1
competitive,1
spite,1
not,3
second,1
those,1
are,4
full,1
loopholes,1
offering,1
extensive,1
opportunities,2
megawatt,1
laundering,1
selling,2
affiliated,1
reason,1
another,1
exempted,1
example,1
do,1
apply,1
imports,1
neighboring,1
states,1
then,1
back,1
into,1
severin,1
borenstein,1
university,1
institute,1
adds,1
allowed,1
depends,1
cost,1
generation,1
least,1
efficient,1
clear,1
incentive,1
produce,1
inefficiently,1
predict,1
we,2
find,1
plants,1
heard,1
before,1
suddenly,1
operating,1
again,1
they,1
pretty,1
inefficient,1
general,2
verdict,1
this,2
serious,2
proposals,1
mitigate,1
last,2
fall,1
submitted,1
proposal,1
well,1
experts,1
ignored,1
them,1
charitable,1
interpretation,2
still,1
doesn,1
get,1
bring,1
itself,1
time,1
uncharitable,1
week,1
action,1
meant,1
fail,1
medley,1
report,1
online,2
newsletter,1
grand,1
exercise,1
posturing,1
without,1
substance,1
clever,1
temporary,1
bush,1
administration,2
deflect,1
political,1
fallout,1
looming,1
disaster,1
whatever,1
explanation,1
plain,1
yet,1
significant,1
opinion,1
krug,1
ex,1
ei,1
en,1
f,1
b,2
abf,1
complete,1
access,1
authoritative,1
news,1
coverage,1
web,2
updated,1
throughout,1
become,1
member,1
free,1
eta,1
advertise,1
advertising,2
e,1
mail,1
newsletters,1
creative,1
york,2
contact,1
alyson,2
racer,1
media,1
kit,1
adinfo,1
about,1
write,1
copyright,1
company,1
jeff,1
i,2
have,2
prepared,1
the,2
attached,1
chart,1
for,1
you,3
it,2
captures,1
ideas,1
we,1
discussed,1
last,1
week,1
please,1
call,1
when,1
a,1
chance,1
look,1
forward,1
to,1
talking,1
with,1
